"","AdmArea","Month","Year","TotalAmount"
"1","Центральный административный округ","Апрель","2016","1033089057"
"2","Центральный административный округ","Май","2016","1046211200"
"3","Центральный административный округ","Июнь","2016","1035468984"
"4","Центральный административный округ","Июль","2016","1"
"5","Центральный административный округ","Август","2016","1029563915"
"6","Центральный административный округ","Сентябрь","2016","1042438615"
"7","Центральный административный округ","Октябрь","2016","1065523860"
"8","Центральный административный округ","Ноябрь","2016","1072033883"
"9","Центральный административный округ","Декабрь","2016","1083268627"
"10","Центральный административный округ","Январь","2017","1.1039155455E9"
"11","Центральный административный округ","Февраль","2017","1.12902393508E9"
"12","Центральный административный округ","Март","2017","1.11185381194E9"
"13","Центральный административный округ","Апрель","2017","1.11532081567E9"
"14","Центральный административный округ","Май","2017","5.622251613E7"
"15","Центральный административный округ","Июнь","2017","1.13130944543E9"
"16","Центральный административный округ","Июль","2017","1.19721554372E9"
"17","Центральный административный округ","Июль","2018","1.23166821378E9"
"18","Центральный административный округ","Июнь","2018","1.23054142998E9"
"19","Центральный административный округ","Май","2018","1.24709934901E9"
"20","Центральный административный округ","Март","2018","1.23893223352E9"
"21","Центральный административный округ","Февраль","2018","1.24752302493E9"
"22","Центральный административный округ","Январь","2018","1.25593240709E9"
"23","Центральный административный округ","Февраль","2019","1318968869"
"24","Центральный административный округ","Сентябрь","2017","1.21203722666E9"
"25","Центральный административный округ","Ноябрь","2018","1.2499870148E9"
"26","Центральный административный округ","Октябрь","2018","1.23665741857E9"
"27","Центральный административный округ","Сентябрь","2018","1.2218254529E9"
"28","Центральный административный округ","Декабрь","2018","1250072335"
"29","Центральный административный округ","Ноябрь","2017","1248661932"
"30","Центральный административный округ","Октябрь","2017","1233226017"
"31","Центральный административный округ","Август","2017","1205424733"
"32","Центральный административный округ","Апрель","2018","1242811612"
"33","Центральный административный округ","Декабрь","2017","1258380754"
"34","Центральный административный округ","Август","2018","1237711634"
"35","Центральный административный округ","Январь","2019","1282372753"
"36","Центральный административный округ","Апрель","2019","1.37624963296E9"
"37","Центральный административный округ","Март","2019","1300946634"
"38","Центральный административный округ","Май","2019","1320926822"
"39","Центральный административный округ","Июль","2019","1294459975"
"40","Центральный административный округ","Июнь","2019","1310177657"
"41","Центральный административный округ","Август","2019","1289896855"
"42","Центральный административный округ","Сентябрь","2019","130597783"
"43","Центральный административный округ","Октябрь","2019","1322195308"
"44","Центральный административный округ","Ноябрь","2019","1338087340"
"45","Центральный административный округ","Декабрь","2019","1.34601342363E9"
"46","Центральный административный округ","Январь","2020","1.38750364127E9"
"47","Центральный административный округ","Февраль","2020","1.34235978232E9"
"48","Центральный административный округ","Март","2020","1.35430373214E9"
"49","Центральный административный округ","Апрель","2020","1.12890369278E9"
"50","Центральный административный округ","Май","2020","1.1287873267E9"
"51","Центральный административный округ","Июнь","2020","1.11218763266E9"
"52","Центральный административный округ","Июль","2020","1.36109596383E9"
"53","Центральный административный округ","Август","2020","1348579151"
"54","Центральный административный округ","Сентябрь","2020","1.33998109129E9"
"55","Центральный административный округ","Октябрь","2020","1.35115492205E9"
"56","Центральный административный округ","Ноябрь","2020","1.36015486183E9"
"57","Центральный административный округ","Декабрь","2020","1.39025640239E9"
"58","Центральный административный округ","Январь","2021","1.39025640239E9"
"59","Центральный административный округ","Февраль","2021","1.36997152859E9"
"60","Центральный административный округ","Март","2021","1.38567590484E9"
"61","Центральный административный округ","Апрель","2021","1.38433332946E9"
"62","Центральный административный округ","Май","2021","1.39971150675E9"
"63","Центральный административный округ","Июнь","2021","1.38876361668E9"
"64","Центральный административный округ","Июль","2021","1.39215498993E9"
"65","Центральный административный округ","Август","2021","1.38141507339E9"
"66","Центральный административный округ","Сентябрь","2021","1.3748959736E9"
"67","Центральный административный округ","Октябрь","2021","1.39523217422E9"
"68","Центральный административный округ","Ноябрь","2021","1.42666801612E9"
"69","Центральный административный округ","Декабрь","2021","1.43257222785E9"
